nama,kode,jadwalKunjungan,createdAt,kodeFreezer,nomorWa,id
"TOKO ANUGERAH","K1969","[""senin""]","2025-10-06T01:28:31.820Z","IDNR2024309590","6285385090613","9a4ca1b7-f882-40dc-b5e2-b6a2a3aa1bb5"
"NYAH JIT","K1708","[""sabtu""]","2025-10-04T01:08:52.258Z","IDNR2023241633","628112770223","b2a770ad-be1c-4bcf-b4e6-45e16744ee44"
"MADUN","K0373","[""selasa""]","2025-10-06T15:15:16.603Z","IDN2016031928","6281327776779","9bcbb48e-0211-483a-b795-18515c9f35e3"
"KANTIN SMA AL HIKMAH","K0525","[""kamis""]","2025-10-06T15:37:44.701Z","IDN2016031630","6285226494373","335a016c-6258-4728-bb65-922bf554aeb8"
"SAMI JF MART","K1298","[""kamis""]","2025-10-02T01:08:52.208Z","IDNR2020302871","62895422887609","a23f56d7-66b7-4466-a4ee-4d79926c4689"
"WARUNG MADURA AL-AMIN 2","K1649","[""kamis""]","2025-10-02T01:17:51.473Z","IDNR2020302583","6281807153886","f5170c6c-2fd8-4a00-90af-f85325da4666"
"RIYADLUL QUR'AN","K1286","[""sabtu""]","2025-10-04T00:33:54.945Z","IDNR2020302821","62895347140404","2821519d-7cc4-41e1-a814-90f13118ad5f"
"SD 1 BUARAN MAYONG","K1751","[""selasa""]","2025-10-06T15:15:16.603Z","IDN2016315726","628128090213","2f89e7d9-b919-45f0-8588-649cd350193a"
"TOKO ANDI","K1179","[""rabu""]","2025-10-01T01:37:23.771Z","IDNR2021203706","","73aa11aa-beeb-48e7-ada7-b4570c1c748f"
"NUR AFIDAH","K1278","[""selasa""]","2025-10-06T15:15:16.603Z","IDNR2021202119","6282241063199","1b9e05dd-0402-412e-9ba4-1e321199725e"
"MUSTAQIM","K1352","[""senin""]","2025-10-06T01:16:19.336Z","IDNR2022305114","6282323568152","b157661d-c0af-4658-8937-8d24c55731f9"
"TOKO VANIA","K1868","[""rabu""]","2025-10-01T01:42:21.858Z","IDNR2020303541","6281246978795","0a8c5daa-4367-4b2e-ba73-90c306b70543"
"APOTEK PANCUR","K0352","[""senin""]","2025-10-06T01:09:11.803Z","IDNR2020416243","6285713014269","01211cd5-a06d-4d0a-bb4d-bf5a2ce00879"
"YANI 2","K1018","[""kamis""]","2025-10-02T01:20:54.959Z","IDNR2020417317","6285200485050","e2c738ed-833e-467a-be25-e3a8ce9caf9c"
"TOKO PAK MUL","K1323","[""senin""]","2025-10-06T01:15:54.621Z","IDN2016315137","6281398422237","a7c7182a-009a-4ea1-ae84-f5392b6e438d"
"TOKO ZUMAEROH","K1599","[""senin""]","2025-10-06T04:01:09.055Z","IDN2016304323","6281327336308","dac70836-d6ea-4a26-951c-fb5eb9bbedc6"
"REZEKI LANCAR","K1540","[""senin""]","2025-10-06T01:24:52.287Z","IDNR2023312878","6288232390183","b48bca8c-78a2-4ec1-9b16-84849a0b9b5a"
"MBAK IS","K0485","[""sabtu""]","2025-10-04T00:39:00.793Z","IDN2016315119","6285325857797","a8462560-2ad3-4544-9956-5090773229c4"
"MBAK MUNA","K1970","[""jumat""]","2025-10-02T16:20:34.571Z","IDNR2024309643","6285867934154","68de525c-bf03-4eef-a8cb-0e3c3f7e1d03"
"M. FAIZUN","K1614","[""jumat""]","2025-10-02T16:08:33.772Z","IDNR2021305455","6287773452593","99b2e217-3eaf-45b5-ad6d-156c660cf300"
"TOKO WAHYUDI","K1586","[""rabu""]","2025-10-01T01:40:29.701Z","IDNR2020417628","6285740741074","a0c38ab0-a753-4852-9152-8919a3a021e1"
"KANTOR PWI","K1877","[""kamis""]","2025-10-02T01:18:11.859Z","IDNR2020306880","62816744086","82f35ef8-d7a6-49d1-8bb1-605548a65ffa"
"TOKO SHERLY","K1500","[""rabu""]","2025-10-01T01:39:27.772Z","BIDNAICE2021301484","6285266757533","918a9f86-c4d7-44b1-b1b6-aad9ecec0c8f"
"SUDARTO","K0676","[""kamis""]","2025-10-02T01:12:16.053Z","IDN2016315922","6285731350549","504129c5-e443-44cc-97f8-0b61a7f78b57"
"BU ISTIANAH ( MTS URWATIL WATSQO )","K2066","[""senin""]","2025-10-01T01:44:06.254Z","IDNR2024204783","085877270059‬","6741fcee-d6a3-41c0-bd06-d23b4b20f021"
"TOKO RENASYA","K1512","[""kamis""]","2025-10-02T01:16:06.093Z","IDN2016302684","6285726032056","be1da9ae-ecea-480f-860c-e9fd14864698"
"TOKO INDANAH","K1513","[""rabu""]","2025-10-01T01:39:48.777Z","IDNR2022305127","6285217619579","e9cf0e15-59df-4e0d-9bb7-864ab214b693"
"TIGA SAUDARA","K0367","[""senin""]","2025-10-06T01:11:33.307Z","IDN2016315925","6282137617130","6740f4eb-2965-4ce0-b956-ef3ea30624a8"
"ABIYAN CAKE","K1613","[""sabtu""]","2025-10-04T01:07:06.409Z","IDNR2019402816","62895383805899","450a2e4d-46dd-4d9b-8459-ea1b8a969308"
"BERKAH SHOLAWAT","K1476","[""kamis""]","2025-10-02T01:14:53.662Z","IDNR2020406917","6289635557262","3edba757-a19f-4272-9fac-d97ad6526fca"
"SAMILATUN KHASANAH","K1945","[""senin""]","2025-10-06T01:28:08.462Z","BIDNAICE2021301770","6285936525131","184324cb-592a-4970-a67b-f96b7dc02a65"
"SUMBER MULYA","K1535","[""sabtu""]","2025-10-04T01:08:32.838Z","IDNR2023310665","62882003319451","a5236b10-7c2d-4190-8e17-ffc69bf239c6"
"NIKMAT SEMBAKO","K1543","[""jumat""]","2025-10-02T16:16:02.099Z","IDNR2023302676","6289667642701","67abfcd5-d88a-4513-bd29-597353ebb2a9"
"RESTU","K0743","[""selasa""]","2025-10-06T15:15:16.603Z","IDN2016315927","6282137026565","13a5625d-3a12-4e79-b282-2bd369ec295f"
"TOKO HAPSARI","K1936","[""kamis""]","2025-10-02T01:18:47.390Z","IDNR2023302536","6281320817460","489380bc-8dca-446c-b652-3e71ea347503"
"SD IT AL ANWAR","K1658","[""jumat""]","2025-10-02T16:17:04.885Z","IDN2016302969","6285712325513","c90bb0bc-7d18-4531-bf39-eee5fb08812e"
"NICE SWALAYAN","K2144","[""kamis""]","2025-10-29T04:27:12.813Z","IDNR2020304386","6282242602040","770d85f4-d20a-459c-bb58-08cf546bbee1"
"MARYATI","K0378","[""selasa""]","2025-10-06T15:15:16.603Z","IDN2016306000","6282241063199","f33633d7-0b22-480a-9ab0-e1dac6fcedff"
"TIGA SAUDARA 2","K1149","[""senin""]","2025-10-06T01:15:36.712Z","IDNR2020306725","6281992546416","4d252543-4e0e-4fc1-b82d-6a6fc91f9228"
"MUNTATIAH","K1366","[""rabu""]","2025-10-06T15:37:44.701Z","IDNR2022305172","6282282875788","db68a5d9-ae22-4a70-ab8b-255b514f95ec"
"TOKO RIZKY OS","K1502","[""senin""]","2025-10-06T01:22:34.910Z","IDNR2023312688","6285712121843","c8674610-9d57-4ee8-adb7-2f2fa51ba073"
"TOKO LISA","K1899","[""kamis""]","2025-10-02T01:24:05.308Z","IDN2016305956","628996621172","c12ade19-3806-4495-a693-5801bd341095"
"SD IT AL HUSNA 2","K1759","[""jumat""]","2025-10-02T16:18:15.993Z","IDNR2024306141","62882007761067","05577f8c-d28b-489a-97c9-ed86f7ff8658"
"PONPES MAYONG/ AL ISHOM","K0991","[""sabtu""]","2025-10-04T01:08:11.648Z","IDNR2020416362","62895636347953","85cf10d5-57cb-40af-ab28-5793be5a97f1"
"MUNAWAROH","K1121","[""senin""]","2025-10-06T01:12:21.632Z","IDNR2020306649","6283133484041","ee44c035-af97-46c2-93cd-934252ce01a9"
"SD 3 BUARAN","K1788","[""selasa""]","2025-10-06T15:15:16.603Z","BIDNAICE2021301449","6282133592434","1290b930-bb27-4579-891f-72d6e0370ba7"
"STICOM","K0511","[""jumat""]","2025-10-02T16:14:35.856Z","IDN2016305838","628979346185","076fe413-eca6-4801-8b3a-5e60a504e06e"
"ENDANG RISTIYOWATI","K0532","[""jumat""]","2025-10-02T16:15:38.477Z","IDN2016014667","6285201402811","0baeec56-611a-42f1-a19c-64e3e6ca6120"
"TOSERBA JIWA MART","K2008","[""selasa""]","2025-10-06T15:15:16.603Z","IDNR2019415025","6287797582343","447595c6-2025-4419-a012-8d94be89e4bc"
"MI ASSALAM SINGOROJO","K1928","[""rabu""]","2025-10-01T01:43:33.572Z","IDNR2024304058","6285865033360","f95a2adb-5a3d-4346-8f44-498ca87734bb"
"ALMA MART","K2002","[""jumat""]","2025-10-02T16:19:02.727Z","IDNR2021305915","6282136610170","ebcd6f2e-25bc-4095-a33b-e8c70767797f"
"LINAWATI SMU MUH 2","K1197","[""kamis""]","2025-10-02T01:12:35.910Z","IDNR2021202418","62895415034236","f0f0411f-a288-420e-8d87-76709f11a8b6"
"ALHUSNA MART","K0439","[""kamis""]","2025-10-02T01:09:15.678Z","IDN2016315906","6285799230790","de837004-998f-4d9d-9ceb-27c3277a4493"
"ELLA 2 KANTIN MTS BALEKAMBANG","K0391","[""selasa""]","2025-10-02T00:42:32.449Z","IDNR2022304981","628569005216","86c5013d-3fb3-4968-9d6f-a4c6ac3e34bd"
"FARIDA ERYANTI","K2005","[""kamis""]","2025-10-02T01:25:00.495Z","IDNR2020303564","6282226409008","2a8d298a-0221-4c9a-bd58-212d1c193741"
"MUSYAFAK","K0512","[""jumat""]","2025-10-02T16:15:05.314Z","IDNR2020301704","628812664541","0854317f-6841-4c58-b632-29a134dc533c"
"WAKHIDATUS SHOLEKHAH","K1923","[""sabtu""]","2025-10-04T00:38:30.311Z","IDNR2024304199","628996424455","33f35fd3-2788-46bd-b710-1f18130ac326"
"Toko Koss Mart","K2014","[""kamis""]","2025-10-02T01:25:19.819Z","IDNR2019402831","6287763869490","c3d5fd74-b777-410a-8463-833c6a80fa6f"
"APOTEK PUTRA PRIMA","K1993","[""jumat""]","2025-10-02T16:18:36.981Z","IDNR2020205015","6285742270948","b70a9f43-e20b-45ec-9a0d-d79820b128ba"
"SD 3 BUNGU","K1787","[""senin""]","2025-10-06T01:27:00.802Z","IDNR2021206420","6281389918811","b5d38fb0-a0c8-4c28-b7f2-65c9df303862"
"TOKO ALI","K1154","[""rabu""]","2025-10-01T01:37:09.761Z","IDNR2021201186","6283836812757","085bbef4-729a-4a83-b1e3-fd32ded0b809"
"LAKSITA SWALAYAN","K2101","[""kamis""]","2025-10-02T01:19:39.465Z","IDNR20252002167","6285348220760","42f49f2f-b3cb-4c8a-bc9d-3dd78a6e9c91"
"DEWI","K0502","[""jumat""]","2025-10-02T16:13:41.305Z","IDNR2020306782","6289530948417","83528420-dead-43fa-9297-c45b89e82dd9"
"SIDO MULYO","K1484","[""selasa""]","2025-10-06T15:15:16.603Z","IDNR2023302392","6281230441001","31ec4308-1feb-466a-b016-366534a6c708"
"RONDHI ARDIYANTO","K0936","[""senin""]","2025-10-06T01:12:03.826Z","IDNR2023303662","6285225440089","1f920f03-02ba-4802-aa4b-cb4a97979cac"
"NUR YONO","K1982","[""sabtu""]","2025-10-04T01:05:33.418Z","BIDNAICE2021301524","6285283953943","4e30038c-8dae-43aa-99c9-ed8e324c2bdf"
"SISWANTO","K0526","[""kamis""]","2025-10-02T01:12:00.727Z","IDNR2022307638","6281992546056","9d04d72a-ccba-4163-82f0-2c5f6a45db2a"
"ABDUL MUJIB","K1315","[""rabu""]","2025-10-01T01:37:37.983Z","IDNR2021305510","6285726646436","89eb1af4-9c31-45a6-981a-682f6cad4935"
"TOKO SAUDARA","K1916","[""rabu""]","2025-10-01T01:43:00.088Z","IDNR2024309601","6281335347912","1b2f93c6-34d6-48b6-bea9-0ad62463a02b"
"SUPARNO","K0390","[""rabu""]","2025-10-01T01:36:16.448Z","IDNR2021203626","6285646486300","1a6e6895-9913-4174-bcbb-ede34d8049ac"
"TOKO SOCHIBATUL MUNAWAROH","K1528","[""rabu""]","2025-10-01T01:40:16.312Z","IDNR2023311578","6285217619579","c8f0dfb8-569f-44bd-b436-2003dbf7caf0"
"YANI","K0462","[""kamis""]","2025-10-02T01:20:06.500Z","IDNR2019403127","628953155775","f72200de-8f83-4445-a6df-6e809b284ccb"
"TOKO HALIMAH","K1607","[""selasa""]","2025-10-06T15:15:16.603Z","IDN2016031665","6282351851385","46b5f2b0-e099-4d90-a699-93e51cd88145"
"MASRUKIN","K1334","[""selasa""]","2025-10-06T15:15:16.603Z","IDNR2022304956","6281230441001","1ac0f0ae-3a27-4bca-934c-44da7fb0f09b"
"MBAK YUYUN","K0379","[""selasa""]","2025-10-06T15:15:16.603Z","IDNR2020406909","6285727184671","daa3d0ec-8c44-4fe3-b6c1-10f0824b066b"
"SD NEGERI 2 PELEMKEREP MAYONG","K1332","[""kamis""]","2025-10-06T15:37:44.701Z","IDN2016315741","6281335000424","8a6ca0c1-1128-4267-9e18-3de0b93f5af4"
"ULFA KHASANAH","K1127","[""selasa""]","2025-10-06T15:52:06.770Z","IDNR2020306489","6282226508260","4eb562d0-9280-4e70-92ea-ccff2b2e6623"
"MUHKAFI","K1832","[""senin""]","2025-10-06T01:27:27.222Z","IDNR2023239329","6288220363983","54fdba50-504d-42aa-b316-bc482ba22865"
"ELLA 3 SMK PUTRI BALEKAMBANG","K0392","[""selasa""]","2025-10-06T15:15:16.603Z","IDNR2024303728","6285877308299","4788336f-5c4c-4646-8d12-7936fe3b2d84"
