id,nama,kode,kodeFreezer,jadwalKunjungan,createdAt,nomorWa
"Bs2oePYU0B48Em6U0NdQ","BERKAH SAFAR","K1482","IDN2016029331","[""rabu""]","2025-10-01T01:39:14.248Z","6285225325772"
"BvWPE9XFvPFjtvTQTh8G","PP  ALHUSNA 2","K2157","IDNR2023312689","[""rabu""]","2025-11-12T04:57:29.675Z",""
"CfKdWWsPbcqw3KjtwI29","NOR AMIN MAHMUD","K1987","IDN2016305685","[""selasa""]","2025-10-06T15:15:16.603Z","6285229245472"
"Djb9VhTmktwIGcPkALLf","SDN 1 BAKALAN ( TOKO SEMBAKO AHLIS )","K2015","IDN2016304332","[""jumat""]","2025-10-02T16:19:27.709Z","6281227216547"
"GMtCP1QmCDJ6WK1Fzvee","MI SYUMUSUL HUDA","K1819","IDNR2024205098","[""sabtu""]","2025-10-04T01:04:53.616Z","6282134053838"
"Hfn7DH6eAWCVrAkmczwl","TOKO BINTANI MART","K1409","IDNR2022305177","[""rabu""]","2025-10-01T01:38:47.131Z","6285740741074"
"HsBqJ8NfGtWtPy4dtOUp","TRANSIT MART 2","K1534","IDNR2023312704","[""jumat""]","2025-10-02T16:19:53.556Z","6285213922491"
"I2ckekmi55nhDdQ2RGZn","KHUDIN","K0661","IDN2016015831","[""rabu""]","2025-10-01T01:36:35.110Z","6281225322898"
"ICWLSSwzVvanVCAZdUih","KUSRIYAH","K0742","IDN2016305839","[""rabu""]","2025-10-01T01:36:52.242Z","6285954262762"
"IQtU1AxfLTPqglkim04O","TOKO ANUGERAH","K1969","IDNR2024309590","[""senin""]","2025-10-06T01:28:31.820Z","6285385090613"
"IXBiyQspfEdWbNBMZp91","NYAH JIT","K1708","IDNR2023241633","[""sabtu""]","2025-10-04T01:08:52.258Z","628112770223"
"ImE48v9OEwbSNMRIb16y","MADUN","K0373","IDN2016031928","[""selasa""]","2025-10-06T15:15:16.603Z","6281327776779"
"IrbkzdFUGCvAzQv01tks","KANTIN SMA AL HIKMAH","K0525","IDN2016031630","[""kamis""]","2025-10-06T15:37:44.701Z","6285226494373"
"LjHKUWJDhaxyFOLArIdi","SAMI JF MART","K1298","IDNR2020302871","[""kamis""]","2025-10-02T01:08:52.208Z","62895422887609"
"LrDGivjSfm58oJ7eILXz","WARUNG MADURA AL-AMIN 2","K1649","IDNR2020302583","[""kamis""]","2025-10-02T01:17:51.473Z","6281807153886"
"MBtynOjLtaD7KngRrvOo","RIYADLUL QUR'AN","K1286","IDNR2020302821","[""sabtu""]","2025-10-04T00:33:54.945Z","62895347140404"
"NKsOqczLvbzUQOrPcTvY","SD 1 BUARAN MAYONG","K1751","IDN2016315726","[""selasa""]","2025-10-06T15:15:16.603Z","628128090213"
"NbD8s7PxFM7LcFShRs3Q","TOKO ANDI","K1179","IDNR2021203706","[""rabu""]","2025-10-01T01:37:23.771Z",""
"O8g9w3lNqdo3pRpC2pwY","NUR AFIDAH","K1278","IDNR2021202119","[""selasa""]","2025-10-06T15:15:16.603Z","6282241063199"
"OBIPITnGgdtvp0zkVSIL","MUSTAQIM","K1352","IDNR2022305114","[""senin""]","2025-10-06T01:16:19.336Z","6282323568152"
"OoHRaxncqsL1ElG0jLeK","TOKO VANIA","K1868","IDNR2020303541","[""rabu""]","2025-10-01T01:42:21.858Z","6281246978795"
"P3S3LmNnq4sCQ7YUieWO","APOTEK PANCUR","K0352","IDNR2020416243","[""senin""]","2025-10-06T01:09:11.803Z","6285713014269"
"QHP3VKx7Xl66YirpJdsY","YANI 2","K1018","IDNR2020417317","[""kamis""]","2025-10-02T01:20:54.959Z","6285200485050"
"R1Nb2wQKva33PYzOOokI","TOKO PAK MUL","K1323","IDN2016315137","[""senin""]","2025-10-06T01:15:54.621Z","6281398422237"
"S3sXgtgCOOvXYK2lhUtV","TOKO ZUMAEROH","K1599","IDN2016304323","[""senin""]","2025-10-06T04:01:09.055Z","6281327336308"
"SXfUg2IX86MSmv6tQUfp","REZEKI LANCAR","K1540","IDNR2023312878","[""senin""]","2025-10-06T01:24:52.287Z","6288232390183"
"Sd6g46vJ9IKhkDW5DXlf","MBAK IS","K0485","IDN2016315119","[""sabtu""]","2025-10-04T00:39:00.793Z","6285325857797"
"TTn9hWhaS5l9V1auHGCk","MBAK MUNA","K1970","IDNR2024309643","[""jumat""]","2025-10-02T16:20:34.571Z","6285867934154"
"UakrWJWMX4JcwWKopZSl","M. FAIZUN","K1614","IDNR2021305455","[""jumat""]","2025-10-02T16:08:33.772Z","6287773452593"
"Un8CXZKfqVE45zerIgis","TOKO WAHYUDI","K1586","IDNR2020417628","[""rabu""]","2025-10-01T01:40:29.701Z","6285740741074"
"UwdRliDTCsIK7mN3UplU","KANTOR PWI","K1877","IDNR2020306880","[""kamis""]","2025-10-02T01:18:11.859Z","62816744086"
"VktFHlWljj8CqZVnsjtM","TOKO SHERLY","K1500","BIDNAICE2021301484","[""rabu""]","2025-10-01T01:39:27.772Z","6285266757533"
"W5T0mkGuUhrS8Xv4nxtZ","SUDARTO","K0676","IDN2016315922","[""kamis""]","2025-10-02T01:12:16.053Z","6285731350549"
"WbtoNXx8lwUgS8s1ojLR","BU ISTIANAH ( MTS URWATIL WATSQO )","K2066","IDNR2024204783","[""senin""]","2025-10-01T01:44:06.254Z","085877270059‬"
"Wd4tMZL3Gh5AME7jGCqL","TOKO RENASYA","K1512","IDN2016302684","[""kamis""]","2025-10-02T01:16:06.093Z","6285726032056"
"X4G4Mm97geyTM8hWkcGe","TOKO INDANAH","K1513","IDNR2022305127","[""rabu""]","2025-10-01T01:39:48.777Z","6285217619579"
"XiCglP9CSUbM0jrjNHny","TIGA SAUDARA","K0367","IDN2016315925","[""senin""]","2025-10-06T01:11:33.307Z","6282137617130"
"YPpBOMPT2aukjCk1wvxw","ABIYAN CAKE","K1613","IDNR2019402816","[""sabtu""]","2025-10-04T01:07:06.409Z","62895383805899"
"YfBQlzNngeGfMuvgAEuJ","BERKAH SHOLAWAT","K1476","IDNR2020406917","[""kamis""]","2025-10-02T01:14:53.662Z","6289635557262"
"Yqbds11ik7n7cnIbAlyj","SAMILATUN KHASANAH","K1945","BIDNAICE2021301770","[""senin""]","2025-10-06T01:28:08.462Z","6285936525131"
"ZE2ppkrg8ZR49fnJZeOY","SUMBER MULYA","K1535","IDNR2023310665","[""sabtu""]","2025-10-04T01:08:32.838Z","62882003319451"
"ZPG57TQu3HgMHFcjJS94","NIKMAT SEMBAKO","K1543","IDNR2023302676","[""jumat""]","2025-10-02T16:16:02.099Z","6289667642701"
"ZpXCeOmAOnXDVw7mocUq","RESTU","K0743","IDN2016315927","[""selasa""]","2025-10-06T15:15:16.603Z","6282137026565"
"ZwFykP7rgzkf1aJM6g3n","TOKO HAPSARI","K1936","IDNR2023302536","[""kamis""]","2025-10-02T01:18:47.390Z","6281320817460"
"aKeHRY72jQ8R7GmJIMNH","SD IT AL ANWAR","K1658","IDN2016302969","[""jumat""]","2025-10-02T16:17:04.885Z","6285712325513"
"aR8hwBYkMccoUYlxzjC7","NICE SWALAYAN","K2144","IDNR2020304386","[""kamis""]","2025-10-29T04:27:12.813Z","6282242602040"
"aYAbEMlBicLREQd8m70C","MARYATI","K0378","IDN2016306000","[""selasa""]","2025-10-06T15:15:16.603Z","6282241063199"
"ahRcxXhTEcb9lxNWNaut","TIGA SAUDARA 2","K1149","IDNR2020306725","[""senin""]","2025-10-06T01:15:36.712Z","6281992546416"
"bEH9JBG9XfbqU2R8PKNC","MUNTATIAH","K1366","IDNR2022305172","[""rabu""]","2025-10-06T15:37:44.701Z","6282282875788"
"cBXhRkwzErSSQ2yHFz8H","TOKO RIZKY OS","K1502","IDNR2023312688","[""senin""]","2025-10-06T01:22:34.910Z","6285712121843"
"d2fNqoVzXHxTmpY3E8v6","TOKO LISA","K1899","IDN2016305956","[""kamis""]","2025-10-02T01:24:05.308Z","628996621172"
"dFJRnjEcCGZjVJ3vtZTF","SD IT AL HUSNA 2","K1759","IDNR2024306141","[""jumat""]","2025-10-02T16:18:15.993Z","62882007761067"
"e3G6RcX2g2UHxpjV4Pem","PONPES MAYONG/ AL ISHOM","K0991","IDNR2020416362","[""sabtu""]","2025-10-04T01:08:11.648Z","62895636347953"
"eLh6QEH4U1yPXyxJUerC","MUNAWAROH","K1121","IDNR2020306649","[""senin""]","2025-10-06T01:12:21.632Z","6283133484041"
"ebebnNTVsoHmjsVzpaxp","SD 3 BUARAN","K1788","BIDNAICE2021301449","[""selasa""]","2025-10-06T15:15:16.603Z","6282133592434"
"ewv2xw7GgJtJXR8nPfQw","STICOM","K0511","IDN2016305838","[""jumat""]","2025-10-02T16:14:35.856Z","628979346185"
"f2Z73egCvMj4PXs56DKE","ENDANG RISTIYOWATI","K0532","IDN2016014667","[""jumat""]","2025-10-02T16:15:38.477Z","6285201402811"
"gHbbLlkgBIfTYKv7O0G6","TOSERBA JIWA MART","K2008","IDNR2019415025","[""selasa""]","2025-10-06T15:15:16.603Z","6287797582343"
"gTE9rpKizzrf2b3XMEkU","MI ASSALAM SINGOROJO","K1928","IDNR2024304058","[""rabu""]","2025-10-01T01:43:33.572Z","6285865033360"
"hHf2x3hxQleMEMp5aLvO","ALMA MART","K2002","IDNR2021305915","[""jumat""]","2025-10-02T16:19:02.727Z","6282136610170"
"hWaUvcWJzlPMr3hZZqH7","LINAWATI SMU MUH 2","K1197","IDNR2021202418","[""kamis""]","2025-10-02T01:12:35.910Z","62895415034236"
"i3vRFtdn75Z0P1RiyJus","ALHUSNA MART","K0439","IDN2016315906","[""kamis""]","2025-10-02T01:09:15.678Z","6285799230790"
"j5OQBnhs4A8lXEY9aNI4","ELLA 2 KANTIN MTS BALEKAMBANG","K0391","IDNR2022304981","[""selasa""]","2025-10-02T00:42:32.449Z","6285845734462"
"jNgDfhGZ4mVvt8VJrRX7","FARIDA ERYANTI","K2005","IDNR2020303564","[""kamis""]","2025-10-02T01:25:00.495Z","6282226409008"
"jVJBm18ggKRwQ9dO6sPu","MUSYAFAK","K0512","IDNR2020301704","[""jumat""]","2025-10-02T16:15:05.314Z","628812664541"
"kHooCaS0ksQrVzljSVVi","WAKHIDATUS SHOLEKHAH","K1923","IDNR2024304199","[""sabtu""]","2025-10-04T00:38:30.311Z","628996424455"
"lNRFpK00n4trF3j94v5p","Toko Koss Mart","K2014","IDNR2019402831","[""kamis""]","2025-10-02T01:25:19.819Z","6287763869490"
"n16DsU1bfxJ6le0HcELZ","APOTEK PUTRA PRIMA","K1993","IDNR2020205015","[""jumat""]","2025-10-02T16:18:36.981Z","6285742270948"
"nhuEhSvTkbCX7F1rYyfg","SD 3 BUNGU","K1787","IDNR2021206420","[""senin""]","2025-10-06T01:27:00.802Z","6281389918811"
"pfBZeBBflEj9cMD0uZa2","TOKO ALI","K1154","IDNR2021201186","[""rabu""]","2025-10-01T01:37:09.761Z","6283836812757"
"pfVW6jSIplI2WXaQvEB7","LAKSITA SWALAYAN","K2101","IDNR20252002167","[""kamis""]","2025-10-02T01:19:39.465Z","6285348220760"
"prsjnt4eZWb4sKtsXAOd","DEWI","K0502","IDNR2020306782","[""jumat""]","2025-10-02T16:13:41.305Z","6289530948417"
"qBgHRkFD88KqnN8yy52I","SIDO MULYO","K1484","IDNR2023302392","[""selasa""]","2025-10-06T15:15:16.603Z","6281230441001"
"rZ5BOP8Og7Zb2P9x4xE6","RONDHI ARDIYANTO","K0936","IDNR2023303662","[""senin""]","2025-10-06T01:12:03.826Z","6285225440089"
"rwANC5lfSRpAKV2HzJBj","NUR YONO","K1982","BIDNAICE2021301524","[""sabtu""]","2025-10-04T01:05:33.418Z","6285283953943"
"sSufgeU8YIyZrAOZbEO6","SISWANTO","K0526","IDNR2022307638","[""kamis""]","2025-10-02T01:12:00.727Z","6281992546056"
"t2gz4up7sN675kePt6Oc","ABDUL MUJIB","K1315","IDNR2021305510","[""rabu""]","2025-10-01T01:37:37.983Z","6285726646436"
"tdeA3VNFi7t8G3VWRUm6","TOKO SAUDARA","K1916","IDNR2024309601","[""rabu""]","2025-10-01T01:43:00.088Z","6281335347912"
"usLxLxZs3KRwiDECcgTd","SUPARNO","K0390","IDNR2021203626","[""rabu""]","2025-10-01T01:36:16.448Z","6285646486300"
"uyiOKpYICdUeSfb42aOn","TOKO SOCHIBATUL MUNAWAROH","K1528","IDNR2023311578","[""rabu""]","2025-10-01T01:40:16.312Z","6285217619579"
"wa6cy9OSn1Nt8nknPGk4","YANI","K0462","IDNR2019403127","[""kamis""]","2025-10-02T01:20:06.500Z","628953155775"
"xLheMxVZ8I1BWrwmFw48","TOKO HALIMAH","K1607","IDN2016031665","[""selasa""]","2025-10-06T15:15:16.603Z","6282351851385"
"xXcBnRjwrKPQNBumnzm6","MASRUKIN","K1334","IDNR2022304956","[""selasa""]","2025-10-06T15:15:16.603Z","6281230441001"
"xp0ZRBc7iUKQ0VDFMW5Y","MBAK YUYUN","K0379","IDNR2020406909","[""selasa""]","2025-10-06T15:15:16.603Z","6285727184671"
"xzGm4L1aBwzxJUEjFEWG","SD NEGERI 2 PELEMKEREP MAYONG","K1332","IDN2016315741","[""kamis""]","2025-10-06T15:37:44.701Z","6281335000424"
"yBsQQkZjVb4f23z50jbC","ULFA KHASANAH","K1127","IDNR2020306489","[""selasa""]","2025-10-06T15:52:06.770Z","6282226508260"
"yUpqWUQuZmgdXeW3bt5N","MUHKAFI","K1832","IDNR2023239329","[""senin""]","2025-10-06T01:27:27.222Z","6288220363983"
"z3pT9BDTtISnQFgCmOtx","ELLA 3 SMK PUTRI BALEKAMBANG","K0392","IDNR2024303728","[""selasa""]","2025-10-06T15:15:16.603Z","6285877308299"
